feature,pearson_r,pearson_p,spearman_rho,spearman_p
text_length,0.15377277357029595,5.210746307018755e-80,0.2047744527062388,1.0907315629839873e-141
avg_comment_karma,0.06978988487575574,1.1707832677853912e-17,0.11286004440764025,1.056550440365953e-43
karma_iqr,0.055588035326939886,9.646500700587834e-12,0.09847823550457029,1.2305404381748408e-33
std_comment_karma,0.05757270974084522,1.7225702570091518e-12,0.08768030475897858,5.514673615418686e-27
pct_positive_karma,0.0729269552926013,3.8439208029453773e-19,0.07885750092105759,4.0170428437576547e-22
pct_zero_karma,-0.07293090186184398,3.827078456393606e-19,-0.0787771460780936,4.424221206024125e-22
median_comment_karma,0.053159041706742495,7.336876171402951e-11,0.07662841647582892,5.6409818124596126e-21
total_comment_karma,0.05181622632232583,2.169390084255959e-10,0.07561498076905025,1.8291739440942975e-20
karma_range,0.044732003409034174,4.2556089130354916e-08,0.06954983087445009,1.5113506171107008e-17
score,0.024252142753406314,0.0029783574313454898,0.050216254849301534,7.624505831138051e-10
is_weekend,0.0390209012727045,1.7556551204009304e-06,0.03867735247444294,2.1628860299791647e-06
unique_commenters,0.025884795269296452,0.0015245705693413476,0.03538213078800322,1.4663616772646299e-05
num_tags,0.02118126664853711,0.009491972262428571,0.03377470153452125,3.523591423350328e-05
avg_comment_length,-0.034256895862403644,2.7193635926118288e-05,-0.033043503117077634,5.186067399792181e-05
num_comments,0.01798997217011656,0.027598979544237803,0.03098645773168749,0.00014763580688275703
hour_of_day,-0.020815486480067542,0.010803082630102876,-0.028315262963378936,0.0005248832297801393
comment_activity_duration_hours,-0.005350758538581492,0.5123568624622431,-0.0164453338486447,0.04403406495759525
comments_per_commenter,0.0019690057045681376,0.8094831140793565,0.008753309279005798,0.2838055834765541
pct_negative_karma,0.000839729385902082,0.9181060464115754,-0.005736065871118148,0.4824597647271171
