outlet,community
dailymail.co.uk,0
eleconomista.es,0
europapress.es,0
adn.es,0
es.noticias.yahoo.com,0
larazon.es,0
politica.elpais.com,0
levante-emv.com,0
rtve.es,0
blogs.20minutos.es,0
ecodiario.eleconomista.es,0
expansion.com,0
elplural.com,0
lavanguardia.es,0
elpais.com,0
libertaddigital.com,0
lavozdegalicia.es,0
elperiodico.com,0
publico.es,0
abc.es,0
bbc.co.uk,0
noticias.lainformacion.com,0
20minutos.es,0
elmundo.es,0
elconfidencialdigital.com,0
lasprovincias.es,0
es.gizmodo.com,1
blogs.publico.es,1
elindependiente.com,1
elespanol.com,1
lasexta.com,1
eldiario.es,1
bbc.com,1
valenciaplaza.com,1
xataka.com,1
magnet.xataka.com,1
lavozdeasturias.es,1
theguardian.com,1
actualidad.rt.com,1
huffingtonpost.es,1
cadenaser.com,1
elsaltodiario.com,1
jotdown.es,1
elboletin.com,1
lainformacion.com,1
vozpopuli.com,1
infolibre.es,1
lavanguardia.com,1
genbeta.com,1
elconfidencial.com,1
