user,total_articles_commented,bias_exposure_rate,n_biased_articles,n_non_biased_articles,bias_category,outlet_diversity
gallir,264,0.5113636363636364,135,129,mixed,137
miquel,10,0.7,7,3,high_bias,10
FrIkI,47,0.5957446808510638,28,19,mixed,35
enguillem,14,0.5,7,7,mixed,11
--19--,278,0.7302158273381295,203,75,high_bias,101
DZPM,362,0.5,181,181,mixed,198
tomeu,13,0.8461538461538461,11,2,very_high_bias,11
--57--,91,0.5494505494505495,50,41,mixed,67
fgordillo,26,0.5,13,13,mixed,22
--85--,36,0.3611111111111111,13,23,low_bias,14
maty,12,0.6666666666666666,8,4,high_bias,7
unf,195,0.5948717948717949,116,79,mixed,103
DidE,21,0.8095238095238095,17,4,very_high_bias,20
julioj,15,0.6666666666666666,10,5,high_bias,9
maeghith,17,0.47058823529411764,8,9,mixed,15
benko,12,0.5,6,6,mixed,12
nightrain,15,0.8,12,3,high_bias,10
tribe,16,0.3125,5,11,low_bias,14
kuratowsky,14,0.42857142857142855,6,8,mixed,14
guillem,34,0.5588235294117647,19,15,mixed,27
Sharker,20,0.55,11,9,mixed,19
felipe_alfaro,19,0.3684210526315789,7,12,low_bias,19
--32--,13,0.6153846153846154,8,5,high_bias,7
teo,67,0.6567164179104478,44,23,high_bias,40
--49--,564,0.6418439716312057,362,202,high_bias,322
paco,22,0.5454545454545454,12,10,mixed,12
bac,231,0.6536796536796536,151,80,high_bias,82
calopez,25,0.52,13,12,mixed,18
marrajo,14,0.8571428571428571,12,2,very_high_bias,9
ronald_poi,17,0.5294117647058824,9,8,mixed,16
opechancano,30,0.6333333333333333,19,11,high_bias,24
--1011--,102,0.47058823529411764,48,54,mixed,80
adria,37,0.43243243243243246,16,21,mixed,26
ajavibp,27,0.4074074074074074,11,16,mixed,24
Pinucset,15,0.7333333333333333,11,4,high_bias,14
--830--,39,0.5128205128205128,20,19,mixed,33
--671--,16,0.625,10,6,high_bias,13
pacoss,75,0.6266666666666667,47,28,high_bias,61
--692--,14,0.5,7,7,mixed,12
ikusiarte,22,0.5909090909090909,13,9,mixed,13
benjami,100,0.74,74,26,high_bias,61
--476--,80,0.525,42,38,mixed,61
jopemoro,12,0.5833333333333334,7,5,mixed,10
juanfgs,21,0.6666666666666666,14,7,high_bias,15
--957--,17,0.6470588235294118,11,6,high_bias,15
Nukeador,14,0.42857142857142855,6,8,mixed,9
--1005--,12,0.4166666666666667,5,7,mixed,8
Kowalski,21,0.2857142857142857,6,15,low_bias,13
gorki,16,0.5625,9,7,mixed,12
samsaga2,168,0.5119047619047619,86,82,mixed,113
mjota,12,0.4166666666666667,5,7,mixed,12
Cyberfrancis,30,0.5666666666666667,17,13,mixed,28
manolo,16,0.5,8,8,mixed,12
Zootropo,49,0.40816326530612246,20,29,mixed,35
--174--,417,0.6402877697841727,267,150,high_bias,227
Levarkangel,12,0.4166666666666667,5,7,mixed,11
miguelaoj,25,0.4,10,15,low_bias,17
Liamngls,298,0.6073825503355704,181,117,high_bias,194
levhita,21,0.42857142857142855,9,12,mixed,19
--265--,51,0.45098039215686275,23,28,mixed,39
jdeveloper,28,0.5714285714285714,16,12,mixed,21
steve-o,21,0.8095238095238095,17,4,very_high_bias,15
--1041--,50,0.66,33,17,high_bias,33
Hass,261,0.6053639846743295,158,103,high_bias,113
damianvila,295,0.5254237288135594,155,140,mixed,138
majestad,45,0.6222222222222222,28,17,high_bias,37
misterroderic,11,0.6363636363636364,7,4,high_bias,8
--1994--,106,0.5566037735849056,59,47,mixed,76
deigote,21,0.47619047619047616,10,11,mixed,18
tamat,27,0.48148148148148145,13,14,mixed,23
latengoyo,30,0.5333333333333333,16,14,mixed,22
Blaxter,79,0.46835443037974683,37,42,mixed,66
bielfrontera,12,0.8333333333333334,10,2,very_high_bias,12
XabierV,35,0.7714285714285715,27,8,high_bias,26
MalditoFriki,95,0.5684210526315789,54,41,mixed,48
juanac,509,0.5304518664047151,270,239,mixed,188
sickboy,68,0.6764705882352942,46,22,high_bias,49
marioquartz,971,0.6405767250257467,622,349,high_bias,177
yusexp,17,0.7058823529411765,12,5,high_bias,16
aNieto2k,12,0.6666666666666666,8,4,high_bias,8
MDman,228,0.6052631578947368,138,90,high_bias,124
jmboris,27,0.6296296296296297,17,10,high_bias,22
--1804--,31,0.5483870967741935,17,14,mixed,23
Baloo,22,0.6363636363636364,14,8,high_bias,14
emarts,21,0.2857142857142857,6,15,low_bias,15
--1340--,40,0.75,30,10,high_bias,28
--2030--,77,0.5714285714285714,44,33,mixed,33
rodia,28,0.5,14,14,mixed,19
posavasos,21,0.5238095238095238,11,10,mixed,18
onzo,12,0.4166666666666667,5,7,mixed,12
pirulingo3003,10,0.5,5,5,mixed,8
--761--,101,0.4158415841584158,42,59,mixed,51
rondamon,44,0.7045454545454546,31,13,high_bias,35
raul2010,76,0.3684210526315789,28,48,low_bias,30
charlie-cr,45,0.6444444444444445,29,16,high_bias,39
Carme,68,0.6617647058823529,45,23,high_bias,54
Verlier,15,0.7333333333333333,11,4,high_bias,14
everman,78,0.7051282051282052,55,23,high_bias,47
--2516--,488,0.5737704918032787,280,208,mixed,281
kismet,101,0.5148514851485149,52,49,mixed,60
pollo,629,0.5564387917329093,350,279,mixed,237
Martes13,13,0.46153846153846156,6,7,mixed,13
amnesika,37,0.6486486486486487,24,13,high_bias,27
--1317--,60,0.6333333333333333,38,22,high_bias,44
mini-d,37,0.43243243243243246,16,21,mixed,19
alesis69,12,0.6666666666666666,8,4,high_bias,7
--2090--,29,0.6551724137931034,19,10,high_bias,26
--2294--,161,0.6583850931677019,106,55,high_bias,122
bambiz,36,0.7222222222222222,26,10,high_bias,28
Mov,72,0.5138888888888888,37,35,mixed,68
kolme,101,0.5544554455445545,56,45,mixed,75
Truck,46,0.6739130434782609,31,15,high_bias,38
jotape,532,0.6240601503759399,332,200,high_bias,252
Nech,22,0.4090909090909091,9,13,mixed,16
Desmond,136,0.5,68,68,mixed,80
--2479--,137,0.5912408759124088,81,56,mixed,79
andion,14,0.5,7,7,mixed,10
heffeque,337,0.6053412462908012,204,133,high_bias,187
--2849--,20,0.75,15,5,high_bias,19
CondensadorDeFluzo,75,0.5866666666666667,44,31,mixed,33
MarioCrack,10,0.5,5,5,mixed,5
paragomba,32,0.375,12,20,low_bias,25
heyhey,39,0.6666666666666666,26,13,high_bias,32
luces,13,0.6153846153846154,8,5,high_bias,9
ignatius,37,0.5405405405405406,20,17,mixed,32
sotanez,273,0.6043956043956044,165,108,high_bias,161
ManuelE,12,0.5,6,6,mixed,9
flashman,13,0.9230769230769231,12,1,very_high_bias,10
--1341--,44,0.5909090909090909,26,18,mixed,29
Taikochu,74,0.6621621621621622,49,25,high_bias,54
Greg,39,0.717948717948718,28,11,high_bias,25
XepC,79,0.6708860759493671,53,26,high_bias,51
--2733--,335,0.6537313432835821,219,116,high_bias,120
Elias,56,0.7142857142857143,40,16,high_bias,38
gaussianos,12,0.75,9,3,high_bias,4
--23--,11,0.45454545454545453,5,6,mixed,8
Cantro,743,0.6608344549125168,491,252,high_bias,248
--2002--,1178,0.6604414261460102,778,400,high_bias,345
punkesito,44,0.5227272727272727,23,21,mixed,26
noctuido,53,0.5660377358490566,30,23,mixed,42
--3147--,166,0.7168674698795181,119,47,high_bias,71
Nevershine,43,0.4883720930232558,21,22,mixed,35
telmah,31,0.7419354838709677,23,8,high_bias,26
--1971--,16,0.75,12,4,high_bias,10
versvs,41,0.5853658536585366,24,17,mixed,28
--4142--,37,0.7027027027027027,26,11,high_bias,17
78santo,125,0.664,83,42,high_bias,60
juanfra,11,0.8181818181818182,9,2,very_high_bias,5
Jusore,85,0.49411764705882355,42,43,mixed,47
Johan,52,0.7115384615384616,37,15,high_bias,46
cronos,15,0.5333333333333333,8,7,mixed,12
birdy,32,0.5625,18,14,mixed,27
Liveral,29,0.6206896551724138,18,11,high_bias,24
--2873--,481,0.6632016632016632,319,162,high_bias,242
--4207--,66,0.48484848484848486,32,34,mixed,47
--873--,56,0.48214285714285715,27,29,mixed,26
mjmx,49,0.5918367346938775,29,20,mixed,42
Ferk,201,0.4577114427860697,92,109,mixed,77
lawprier,65,0.6307692307692307,41,24,high_bias,51
ezKleber,19,0.6842105263157895,13,6,high_bias,19
--4302--,219,0.5844748858447488,128,91,mixed,141
MarcosBL,14,0.5714285714285714,8,6,mixed,12
Edulix,14,0.6428571428571429,9,5,high_bias,12
ringsakira,74,0.7027027027027027,52,22,high_bias,53
Jason_v,122,0.38524590163934425,47,75,low_bias,77
--2885--,11,0.7272727272727273,8,3,high_bias,10
Yagami_Raito,51,0.5294117647058824,27,24,mixed,36
--3793--,96,0.6145833333333334,59,37,high_bias,65
mevoydeaquiYA,10,0.5,5,5,mixed,7
--4337--,216,0.7037037037037037,152,64,high_bias,133
hezr,15,0.6,9,6,mixed,13
rajon,25,0.72,18,7,high_bias,19
--4371--,48,0.7708333333333334,37,11,high_bias,31
Falc,56,0.5892857142857143,33,23,mixed,42
--4250--,77,0.6623376623376623,51,26,high_bias,58
IaRRoVaWo,10,0.7,7,3,high_bias,10
PerroVerd,14,0.7857142857142857,11,3,high_bias,12
Die_Spinne,136,0.6911764705882353,94,42,high_bias,61
--4297--,17,0.7058823529411765,12,5,high_bias,12
Monsieur-J,206,0.6262135922330098,129,77,high_bias,105
mimismo,26,0.6538461538461539,17,9,high_bias,25
--2412--,41,0.4878048780487805,20,21,mixed,30
llorencs,1421,0.6242083040112597,887,534,high_bias,359
noop,51,0.6666666666666666,34,17,high_bias,31
PaNtaN,22,0.6818181818181818,15,7,high_bias,17
davidubi,15,0.4666666666666667,7,8,mixed,10
--4770--,10,0.6,6,4,mixed,10
ramOn,33,0.6666666666666666,22,11,high_bias,25
Fer,24,0.25,6,18,low_bias,17
--4780--,57,0.5263157894736842,30,27,mixed,33
manwy,75,0.5066666666666667,38,37,mixed,62
torro,52,0.5769230769230769,30,22,mixed,40
isilanes,96,0.53125,51,45,mixed,63
Alandor,32,0.59375,19,13,mixed,24
ignoto,90,0.5777777777777777,52,38,mixed,42
bage,93,0.44086021505376344,41,52,mixed,58
level3,22,0.6363636363636364,14,8,high_bias,21
SPiDeY,48,0.4791666666666667,23,25,mixed,41
--4937--,16,0.625,10,6,high_bias,14
Marianitu,19,0.7368421052631579,14,5,high_bias,11
--877--,11,0.6363636363636364,7,4,high_bias,9
napoleon,13,0.6153846153846154,8,5,high_bias,11
derfel,16,0.8125,13,3,very_high_bias,15
Aloriel,29,0.6206896551724138,18,11,high_bias,21
--4455--,24,0.375,9,15,low_bias,20
--4461--,15,0.26666666666666666,4,11,low_bias,13
emiliogut,16,0.8125,13,3,very_high_bias,4
--5160--,212,0.6320754716981132,134,78,high_bias,94
hammer_ortiz,11,0.5454545454545454,6,5,mixed,11
joanmi,144,0.6527777777777778,94,50,high_bias,71
mcosta,21,0.6666666666666666,14,7,high_bias,17
--5004--,40,0.65,26,14,high_bias,30
viktor,398,0.6507537688442211,259,139,high_bias,203
alexander,91,0.5824175824175825,53,38,mixed,61
--5379--,24,0.625,15,9,high_bias,23
ralph,802,0.5561097256857855,446,356,mixed,291
RamSys,72,0.5972222222222222,43,29,mixed,57
--4476--,67,0.4925373134328358,33,34,mixed,47
pakoloko,38,0.6842105263157895,26,12,high_bias,36
martingerz,239,0.7615062761506276,182,57,high_bias,123
--2965--,97,0.5670103092783505,55,42,mixed,60
glups,107,0.6822429906542056,73,34,high_bias,64
taliban,25,0.72,18,7,high_bias,23
tupperware,14,0.7142857142857143,10,4,high_bias,8
--470--,93,0.7096774193548387,66,27,high_bias,62
pinger,83,0.4578313253012048,38,45,mixed,52
alberto,47,0.5531914893617021,26,21,mixed,35
--5315--,14,0.5,7,7,mixed,8
AgD,12,0.5,6,6,mixed,9
Bronch,16,0.5625,9,7,mixed,10
Bapho,318,0.6635220125786163,211,107,high_bias,105
Nights,49,0.6326530612244898,31,18,high_bias,37
--4556--,256,0.66015625,169,87,high_bias,131
adamselene,18,0.7777777777777778,14,4,high_bias,8
rizox,13,0.23076923076923078,3,10,low_bias,6
--5475--,89,0.38202247191011235,34,55,low_bias,65
daviti,14,0.5714285714285714,8,6,mixed,10
pablo.serrano,14,0.7142857142857143,10,4,high_bias,9
unaiaia,17,0.5882352941176471,10,7,mixed,15
Nildur,21,0.7142857142857143,15,6,high_bias,18
--4629--,25,0.84,21,4,very_high_bias,23
--3338--,15,0.7333333333333333,11,4,high_bias,12
HaST,16,0.875,14,2,very_high_bias,6
--5661--,39,0.5384615384615384,21,18,mixed,19
Agar,46,0.6304347826086957,29,17,high_bias,31
--272--,98,0.673469387755102,66,32,high_bias,78
wuachufo,13,0.38461538461538464,5,8,low_bias,12
acastro,475,0.5873684210526315,279,196,mixed,234
--4955--,31,0.6451612903225806,20,11,high_bias,28
phal,14,0.2857142857142857,4,10,low_bias,9
Duernu,101,0.6138613861386139,62,39,high_bias,73
triturator,766,0.5718015665796344,438,328,mixed,219
culoman,158,0.6455696202531646,102,56,high_bias,94
jlj,88,0.5,44,44,mixed,68
lexsparrow,117,0.7008547008547008,82,35,high_bias,70
--5066--,94,0.648936170212766,61,33,high_bias,72
--1074--,24,0.7083333333333334,17,7,high_bias,19
kaoD,131,0.5725190839694656,75,56,mixed,70
tariq.ibn.ziyad,109,0.6788990825688074,74,35,high_bias,64
niel,33,0.5454545454545454,18,15,mixed,26
T0R,21,0.6666666666666666,14,7,high_bias,16
angeloso,44,0.6363636363636364,28,16,high_bias,34
Felinux,14,0.7857142857142857,11,3,high_bias,11
Lito,56,0.42857142857142855,24,32,mixed,41
kowal,11,0.36363636363636365,4,7,low_bias,8
xoner,13,0.5384615384615384,7,6,mixed,12
--5465--,44,0.45454545454545453,20,24,mixed,28
ys_,15,0.4666666666666667,7,8,mixed,14
MrBlonde,19,0.47368421052631576,9,10,mixed,18
apt-drink,23,0.6086956521739131,14,9,high_bias,19
.hF,489,0.7116564417177914,348,141,high_bias,141
cYbErDaRk,13,0.6153846153846154,8,5,high_bias,8
--6049--,17,0.6470588235294118,11,6,high_bias,13
--4678--,103,0.5242718446601942,54,49,mixed,77
javic,146,0.589041095890411,86,60,mixed,93
jorginius,62,0.5483870967741935,34,28,mixed,27
--525--,68,0.5441176470588235,37,31,mixed,52
peregrinov,45,0.7555555555555555,34,11,high_bias,29
super,27,0.48148148148148145,13,14,mixed,23
pelicato,23,0.6521739130434783,15,8,high_bias,18
oligarco,13,0.6153846153846154,8,5,high_bias,11
vicious,180,0.6555555555555556,118,62,high_bias,124
--5404--,301,0.6345514950166113,191,110,high_bias,132
Trinkov,15,0.6666666666666666,10,5,high_bias,13
Octubre_Rojo,115,0.6521739130434783,75,40,high_bias,76
leviatan,41,0.5853658536585366,24,17,mixed,33
kNo,93,0.5913978494623656,55,38,mixed,58
--902--,11,0.2727272727272727,3,8,low_bias,5
melenas,47,0.40425531914893614,19,28,mixed,21
mezvan,159,0.5723270440251572,91,68,mixed,106
fricandel,25,0.4,10,15,low_bias,21
PeiT,18,0.8333333333333334,15,3,very_high_bias,16
dr_psy,17,0.5882352941176471,10,7,mixed,13
--6575--,472,0.6970338983050848,329,143,high_bias,147
Darevus,11,0.6363636363636364,7,4,high_bias,11
juanmix,22,0.45454545454545453,10,12,mixed,21
cronopio1979,17,0.7058823529411765,12,5,high_bias,9
GuraDXPU,16,0.6875,11,5,high_bias,16
Homelandz,48,0.4375,21,27,mixed,23
hardcrack,21,0.38095238095238093,8,13,low_bias,19
pablo-ar,20,0.65,13,7,high_bias,16
--6381--,32,0.5625,18,14,mixed,24
Ormuzd,55,0.6363636363636364,35,20,high_bias,43
nexus7,24,0.625,15,9,high_bias,21
nws,11,0.7272727272727273,8,3,high_bias,8
acido69,58,0.7068965517241379,41,17,high_bias,45
Cyteck,30,0.23333333333333334,7,23,low_bias,16
maxxcan,44,0.4090909090909091,18,26,mixed,37
martime,14,1.0,14,0,very_high_bias,3
supertorpe,15,0.6666666666666666,10,5,high_bias,6
ppma,10,0.4,4,6,low_bias,9
--3703--,213,0.6384976525821596,136,77,high_bias,126
DiThi,67,0.40298507462686567,27,40,mixed,52
Jose,13,0.3076923076923077,4,9,low_bias,9
monty_oso,36,0.5833333333333334,21,15,mixed,30
Findeton,523,0.6022944550669216,315,208,high_bias,169
--6774--,24,0.7916666666666666,19,5,high_bias,15
Ferran,668,0.5823353293413174,389,279,mixed,249
Ezjarro,16,0.8125,13,3,very_high_bias,14
--6352--,57,0.5263157894736842,30,27,mixed,42
mencey,17,0.47058823529411764,8,9,mixed,16
LgEaObNrAiReDlO,20,0.55,11,9,mixed,15
lperzs,13,0.5384615384615384,7,6,mixed,6
--6756--,15,0.0,0,15,low_bias,1
HOYGAME,17,0.5882352941176471,10,7,mixed,14
Jessica_Fillol,15,0.8666666666666667,13,2,very_high_bias,4
--7103--,46,0.5652173913043478,26,20,mixed,37
--6429--,16,0.8125,13,3,very_high_bias,8
Ashlie,70,0.6714285714285714,47,23,high_bias,27
Pixmac,35,0.7428571428571429,26,9,high_bias,27
--6751--,72,0.6944444444444444,50,22,high_bias,41
nati,25,0.56,14,11,mixed,18
Maegruin,373,0.4155495978552279,155,218,mixed,149
aitkiar,45,0.5333333333333333,24,21,mixed,30
crafton,115,0.6173913043478261,71,44,high_bias,80
sr_mrqzz,21,0.8095238095238095,17,4,very_high_bias,15
pipistrellum,52,0.6153846153846154,32,20,high_bias,30
suntzu,111,0.6216216216216216,69,42,high_bias,63
--6153--,23,0.5652173913043478,13,10,mixed,16
HelloKitty,29,0.7931034482758621,23,6,high_bias,25
Hal9000,28,0.8571428571428571,24,4,very_high_bias,22
mrorange,19,0.8947368421052632,17,2,very_high_bias,6
damian,80,0.5875,47,33,mixed,54
--4062--,17,0.5882352941176471,10,7,mixed,14
kaster,127,0.4566929133858268,58,69,mixed,74
--4515--,19,0.7894736842105263,15,4,high_bias,17
Zelkova,23,0.5217391304347826,12,11,mixed,17
--5867--,358,0.8184357541899442,293,65,very_high_bias,65
doyou,450,0.7,315,135,high_bias,120
gulag,16,0.5,8,8,mixed,11
--7377--,19,0.5263157894736842,10,9,mixed,16
faraox,13,0.9230769230769231,12,1,very_high_bias,9
--5500--,61,0.5081967213114754,31,30,mixed,47
perroloco,85,0.49411764705882355,42,43,mixed,46
jgomsi,11,0.45454545454545453,5,6,mixed,11
Unbyted,16,0.9375,15,1,very_high_bias,12
jineteatormentado,29,0.6896551724137931,20,9,high_bias,19
Trinity9bi,11,0.7272727272727273,8,3,high_bias,10
Troyoo,10,0.8,8,2,high_bias,4
--5176--,11,0.5454545454545454,6,5,mixed,9
cylmor,17,0.7058823529411765,12,5,high_bias,14
--7500--,39,0.6666666666666666,26,13,high_bias,34
albo,17,0.8235294117647058,14,3,very_high_bias,17
trazo,39,0.5641025641025641,22,17,mixed,26
angelitoMagno,2311,0.5980095196884465,1382,929,mixed,640
